kode_rs,nama_unit,alamat,telp,prov,lat,lng
1171143,RS Bhayangkara Banda Aceh,"Jl. Cut Nyak Dhien No. 23, Lamteumen Barat Banda Aceh",065141470,Aceh,5.52815,95.2917
1171121,RS Ibu dan Anak Propinsi NAD,Jl. Prof. A. Madjid Ibrahim I No. 3 Banda Aceh,081327550520,Aceh,5.55167,95.3127
1171041,RS Jiwa Aceh,Jl. Dr. T. Syarief Thayeb No.25 Banda Aceh,065132020,Aceh,5.56536,95.3389
1171015,RS Umum Daerah  Dr. Zainoel Abidin,"Jl. Tgk Daud Beureueh, NO. 108 B. Aceh",065134571,Aceh,5.564051282537817,95.33739792646607
1103010,RS Umum Daerah Dr. H. Yulidin Away,Jl. T. Ben Mahmud Nomor 86 A Tapaktuan,082198880051,Aceh,3.00035,97.3665
1102027,RS Umum Daerah Kota Subulussalam,  Jl. Hamzah Fansyuri (Subulussalam-Rundeng) Kec. Simpang Kiri Kota Subulussalam Aceh 24782,085260077824,Aceh,2.63953,98.0099
1173012,RS Umum Daerah Langsa,Jl. Ahmad Yani No.1  Kec. Langsa Kota,064122800,Aceh,4.4689816214182425,97.96986521622705
1105067,RS Umum Daerah Sultan Alaiddin Said Maulana Abdul,               Jl. Monisa Desa Lhok Dalam Kecamatan Peureulak Kabupaten Aceh Timur,082272690205,Aceh,4.80925,97.893
1114011,RS Umum Daerah Tamiang,Jl. Kesehatan Kab.Aceh Tamiang ,085372458720,Aceh,4.20804,98.0035
1116011,RS Umum Daerah Teuku Umar Kabupaten Aceh Jaya,"Jln. Ali Gunong, Lr. PMI No. 1, Calang, Kec. Krueng Sabee",085333281878,Aceh,4.63467,95.5947
1109028,RS Umum Mufid,Jl.Prof.A.Majid IbrahimNo.62-66 Blok Sawah,085260949409,Aceh,5.37565,95.9588
1275141,RS AL Dr. Komang Makes Belawan,Jl. Bengkalis Belawan No.1 Medan,081261840632,Sumatera Utara,3.78368,98.6843
1274058,RS Bhayangkara Tk.III Kota Tebing Tinggi,Jl Pahlawan No 17,,Sumatera Utara,-2.4185588,108.4919086
1271033,RS Metta Medika II,Jl. Diponegoro No. 6-8 Kota Sibolga,081370127133,Sumatera Utara,1.740295567209639,98.78182904159223
1273108,RS Rasyida Siantar,"Jl. Seram Atas No. 5B, Kel. Bantan Kec. Siantar Barat",062273557760,Sumatera Utara,2.9583635374492365,99.05185352024182
1275035,RS Tk. II Putri Hijau Medan,"Jl Putri Hijau No. 17, Medan",081377240302,Sumatera Utara,3.599701,98.672827
1273022,RS Tk. IV 01.07.01,Jl. Gn Simanuk Manuk No.6. Pematangsiantar,081362192530,Sumatera Utara,2.959890,99.070600
1276040,RS Tk. IV 01.07.02 Binjai,Jl. Bandung No.4 Binjai,082361873345,Sumatera Utara,3.5981380284742044,98.48775590858463
1275094,RS Umum Advent Medan,"Jl Gatot Subroto Km.4,Medan",0614524875,Sumatera Utara,3.59,98.6474
1276036,RS Umum Artha Medica,Binjai Sumatera Utara,082164443713,Sumatera Utara,3.59906,98.4787
1278002,RS Umum Bethesda Gunungsitoli,Jl Diponegoro No.375 C,081264480577,Sumatera Utara,1.2725955466878005,97.63329117503508
1276075,RS Umum Bidadari,Jl Perintis Kemerdekaan No. 174,085260987773,Sumatera Utara,3.629545781164355,98.49273387840412
1275890,RS Umum Bunda Thamrin,Jl Sei Batang Hari ,085260914785,Sumatera Utara,-2.4185588,108.4919086
1275852,RS Umum Columbia Asia,Jl Listrik No.2A Medan,08116176836,Sumatera Utara,-2.4185588,108.4919086
1219003,RS Umum Daerah Batu Bara,"Jl Datuk Kubah Batu Bara, Kwala  Gunung Kec. Lima Puluh Kab. Batu Bara",082277505868,Sumatera Utara,3.175560,99.482868
1205035,RS Umum Daerah Dolok Sanggul,Jl. dr. Ferdinand Lumban Tobing No. 1 Dolok Sanggul,06333211454,Sumatera Utara,2.262438,98.751461
1271016,RS Umum Daerah Dr. FL Tobing Sibolga,Jl Dr. F.L. Tobing No. 35 Sibolga,063126118,Sumatera Utara,1.743640,98.777914
1274012,RS Umum Daerah Dr. H. Kumpulan Pane,Jl Dr. Kumpulan Pane No.226,085805540717,Sumatera Utara,3.6502191946235127,97.62404716949129
1205024,RS Umum Daerah Dr. Hadrianus Sinaga,Jl Dr Hadrianus Sinaga No. 86 Pangururan,062620106,Sumatera Utara,2.596119,98.706468
1201016,RS Umum Daerah dr. M. Thomsen Nias,Jl dr. Ciptomangunkusumo No. 15 Gunungsitoli,063921271,Sumatera Utara,1.289064,97.614186
1208016,RS Umum Daerah H. Abdul Manan Simatupang,Jl. Sisingamangaraja No. 310 Kisaran,081260809667,Sumatera Utara,2.980857,99.622066
1211011,RS Umum Daerah Kabanjahe,Jl Kapten Selamat Ketaren No. 08 Kabanjahe,062820550,Sumatera Utara,3.097996,98.491587
1277011,RS Umum Daerah Padang Sidempuan,"Jl Dr. F.L. Tobing No. 10,Padangsidimpuan",,Sumatera Utara,1.371924,99.271649
1203022,RS Umum Daerah Panyabungan,"Jl Merdeka No.40, Kayu Jati Panyabungan",,Sumatera Utara,0.864551,99.563580
1209065,RS Umum Daerah Parapat,Jl Kolonel TPR Sinaga Parapat,085372989347,Sumatera Utara,2.667975,98.937518
1207015,RS Umum Daerah Rantau Prapat,"Jl KH Dewantara 129, Rantau Prapat",,Sumatera Utara,2.10089,99.8364
1218125,RS Umum Daerah Sultan Sulaiman Syariful Alamsyah,Kabupaten Serdang Bedagai,0811620399 ,Sumatera Utara,3.493523,99.123291
1213013,RS Umum Daerah Tanjung Pura,Jl Khairil Anwar No.9 Tanjung Pura,0618960093,Sumatera Utara,3.903274,98.426206
1275061,RS Umum Delima Medan,"Jl Kl. Yos Sudarso Km.13,6 No.19 A, Medan - Martubung",,Sumatera Utara,3.69656,98.6731
1212023,RS Umum Dr. Gerhard L. Tobing,Desa Buntu Bedimbar Tanjung Morawa Deli Serdang,082268040024,Sumatera Utara,3.54539,98.793
1275794,RS Umum Haji Medan,Jl RS Haji Medan Estate,0616619520,Sumatera Utara,3.613222,98.714970
1205061,RS Umum HKBP Balige,"Jl Gereja No.17,Balige",063221043,Sumatera Utara,2.33083,99.0669
1275163,RS Umum Islam Malahayati,Jl Pangeran Diponegoro No.2-4 Medan,081269636347,Sumatera Utara,-2.4185588,108.4919086
1275152,RS Umum Lanu Dr. Abd. Malik,"Jl. Imam Bonjol No.50,Medan",081376497043,Sumatera Utara,3.57953,98.6768
1209021,RS Umum Laras Kabupaten Simalungun,Jl Desa Naga Jaya I Kec. Bandar Huluan Kab.Simalungun,085260922248,Sumatera Utara,3.13112,99.1477
1276074,RS Umum Latersia,Jl Soekarno Hatta Km 18 No 451,,Sumatera Utara,3.607373829740585,98.5261123457908
1275909,RS Umum Madani,Jl A. R. Hakim No. 168 Medan,,Sumatera Utara,3.574942725615746,98.70325754341229
1275100,RS Umum Methodis Susanna Wesley,Jl Harmonika Baru Pasar I Padang Bulan Selayang II Medan ,081376497041,Sumatera Utara,3.555253,98.638765
1212181,RS Umum Mitra Medika,"Jl. Medan - Batang Kuis Dusun XI Emplasmen, Desa Bandar Klippa, Kecamatan Percut Sei Tuan",,Sumatera Utara,359855,9875506
1275298,RS Umum Mitra Sejati,Jl Jend. AH Nasution No.7 Pangkalan Masyhur Medan,0617875967,Sumatera Utara,3.54085,98.6797
1275885,RS Umum Muhammadiyah,Jl Mandala By Pass No.27 Medan,0617348882,Sumatera Utara,3.5826946493047904,98.71104594841006
1206063,RS Umum Nuraini,"Jl Lintas Sumatera, Bloksongo ",081360654283,Sumatera Utara,2.45419,99.1785
1218026,RS Umum Pabatu,Desa Kedai Damar Kec.Tebing tinggi Kab.serdang bedagai,081260179596,Sumatera Utara,3.281260,99.107369
1212185,RS Umum Pancur Batu,Jl. Jamin Ginting KM. 17 Desa Tengah Kec. Pancur Batu,081376257161,Sumatera Utara,-2.4185588,108.4919086
1212172,RS Umum Patar Asih,Jl Bakaran Batu Desa Tumpatan Dusun Manggis no. 45 ,062617950450,Sumatera Utara,3.5901762543960447,98.85825007199753
1275600,RS Umum Prima Husada Cipta Medan,"Jl Stasiun No.92, Belawan Medan",081274545268,Sumatera Utara,3.77227,98.6815
1213024,RS Umum PTP II Tg Selamat,Jl. Besar Batang Serangan No. 48 Kec. Padang Tualang,085261679869,Sumatera Utara,3.81546,98.3482
1213059,RS Umum Putri Bidadari,Stabat Tanjung Pura KM 45,085361517988,Sumatera Utara,-2.4185588,108.4919086
1276076,RS Umum Ratu Mas,Jl Tengku Amir Hamzah No 281A,087885024913,Sumatera Utara,-2.4185588,108.4919086
1275936,RS Umum Royal Prima Marelan,Jl. Marelan Pasar 3 No. 187 Kel. Rengas Pulau Kec. Medan Marelan 20255 Sumut,085260844632,Sumatera Utara,-2.4185588,108.4919086
1275072,RS Umum Santa Elisabeth Medan,"Jl Haji Misbah No.7,Medan",0614144737,Sumatera Utara,3.57529,98.6766
1208053,RS Umum Sei Dadap,Jl. Protokol Sei Dadap-Sumut,082166064110,Sumatera Utara,2.9525272510820955,99.66793132438659
1212045,RS Umum Sembiring Deli Tua,"Jl. Besar No.77, Deli Tua",081376490201,Sumatera Utara,3.49035,98.6818
1275911,RS Umum Siloam Dhirga Surya,Jl Imam Bonjol No. 6,06188881911,Sumatera Utara,-2.4185588,108.4919086
1275321,RS Umum Siti Hajar,"Jl Letjend Jamin Ginting No.2, Medan",082217401119,Sumatera Utara,3.53937,98.6262
1274034,RS Umum Sri Pamela,Jl Jend Sudirman  No. 299,082213059800,Sumatera Utara,3.337638,99.165460
1207052,RS Umum Sri Torgamba,Jln. Lintas Sumatera - Riau KM. 380,08116226117,Sumatera Utara,1.7766438,100.254474
1275996,RS Umum Sufina Azis,"Jl Karya Baru No.1,Medan",081376497039,Sumatera Utara,3.59036,98.7113
1275265,RS Umum Sundari,"Jl Jend. T.B.Simatupang No.31,Medan",08119635102,Sumatera Utara,3.5958,98.6094
1276077,RS Umum Sylvani,Jl Perintis Kemerdekaan No. 21,06180045925,Sumatera Utara,3.6187549611106373,98.49643911179646
1218013,RS Umum Trianda,"Jl Medan - Tebing Tinggi Km.42,5 No.752B Desa Pasar Bengkel, Kecamatan Perbaungan, Kabupaten Serdan",082363526960,Sumatera Utara,3.56109,99.0076
1275913,RS Umum Universitas Sumatera Utara,Jl Dr. T. Mansur No. 66,0618218928,Sumatera Utara,3.567958767568005,98.65742831435546
1275276,RS Umum Vina Estetica,Jl Sultan Iskandar Muda No.119,08119635127,Sumatera Utara,3.5875050430822677,98.66129731718377
1275830,RS Umum Wulan Windy,Jl. Marelan Raya No. 17 Rengas Pulau - Medan,,Sumatera Utara,-2.4185588,108.4919086
1275046,RS Bhayangkara Tingkat II,"Jl KH Wahid Hasyim No.1, Medan",081361462147,Sumatera Utara,3.5723470237937547,98.6585174343586
1209054,RS GKPS Bethesda Saribu Dolok,"Jl. Kesehatan No. 106 Kelurahan Saribu Dolok, Kec. Silimakuta ",081362335306,Sumatera Utara,2.940147,98.614233
1218158,RS Grandmed ,Jl Medan km. 25 no. 66 Lubuk Pakam,085358431190,Sumatera Utara,3.55251,98.8612
1275221,RS Jiwa Prof. Dr. Muhammad Ildrem,Jl Let. Jend. Jamin Ginting S Km. 10/ Jl. Tali Air No. 21 Kel. Mangga Kec. Medan Tuntungan,,Sumatera Utara,3.58522,98.6756
1275898,RS Khusus Mata SMEC,Jl Iskandar Muda No.278 ,082361920463,Sumatera Utara,3.587159421204921,98.66155757513388
1275997,RS Umum Bina Kasih,Jl Jend. TB.Simatupang No.148 Sunggal ,0618445271,Sumatera Utara,3.5784950840425283,98.61295762416455
1223002,RS Umum Daerah  Aek Kanopan,Jl. Lintas Sumatera Desa Sidua-dua Kec. Kualuh Selatan,081276398607,Sumatera Utara,2.567565,99.653744
1273011,RS Umum Daerah Dr. Djasamen Saragih,"Jl Sutomo No. 230, Pematangsiantar",062222959,Sumatera Utara,2.951662,99.057006
1275013,RS Umum Daerah Dr. Pirngadi,"Jl Prof H M Yamin SH No. 47, Medan",,Sumatera Utara,3.598184,98.688600
1276014,RS Umum Daerah Dr. R. M. Djoelham Binjai,Jl Sultan Hasanuddin No. 9 Binjai,06180044777,Sumatera Utara,3.602068,98.482113
1203044,RS Umum Daerah Gunung Tua,Jl Raya gunung Tua - Binangan KM 6 Aek Haruaya,06355110209,Sumatera Utara,1.464250,99.644022
1222002,RS Umum Daerah Kota Pinang,Jl Istana No. 26,081376497035,Sumatera Utara,1.895700,100.094057
1209076,RS Umum Daerah Perdagangan,"Jl Radjadmin Purba, SH. Perdagangan",081376497042,Sumatera Utara,3.163493,99.315493
1205046,RS Umum Daerah Porsea,"Jl Raja Sipakko Napitulu, Ds. Parparean, Kec. Porsea, Kab. Toba Samosir",08116210890,Sumatera Utara,2.461886,99.135438
1216011,RS Umum Daerah Salak,"Jl Raja David, Kab.Pakpak Bharat",081362781627,Sumatera Utara,2.557494,98.331277
1203055,RS Umum Daerah Sibuhuan,Jl. KH. Dewantara Sibuhuan Kec. Barumun ,082274995991,Sumatera Utara,1.05295,99.7916
1210010,RS Umum Daerah Sidikalang,"Jl Rumah Sakit No 19, Sidikalang",0627000022442,Sumatera Utara,2.739534,98.319897
1205013,RS Umum Daerah Tarutung,Jl. Agus Salim No. 1 Tarutung,06337320944,Sumatera Utara,2.026976,98.961321
1212012,RS Umum Dearah Deli Serdang,Jl. Thamrin Lubuk Pakam,085297825601,Sumatera Utara,3.557321,98.86785
1211124,RS Umum Efarina Etaham,"Jl Djamin Ginting, Berastagi - Desa Raya, Kab. Karo",081360183452,Sumatera Utara,3.14547,98.5074
1207066,RS Umum Elpi Al Azis,Jl Wr. Supratman ,,Sumatera Utara,-2.4185588,108.4919086
1275622,RS Umum Imelda Pekerja Indonesia,Jl. Bilal No. 24 Pulo Brayan Darat I,0616610072,Sumatera Utara,3.62275,98.6839
1275633,RS Umum Martha Friska,"Jl KL. Yos Sudarso Km.6 No. 91,Medan",,Sumatera Utara,3.68307,98.6653
1275126,RS Umum Methodist,"Jl M. H. Thamrin No. 105, Medan",0617369000,Sumatera Utara,3.58379,98.6929
1271032,RS Umum Metta Medika,Jl Sutoyo Siswomiharjo No 34 Sibolga,081375673731,Sumatera Utara,1.7412554682852097,98.78130081481936
1213035,RS Umum Pertamina Pangkalan Brandan,Jl Wahidin No 1 Pangkalan Brandan,081355124299,Sumatera Utara,4.020713507470844,98.2836306930252
1208056,RS Umum Setio Husodo,Jl SM. Raja No.67 Kisaran,08576868040,Sumatera Utara,2.96039,99.6527
1205142,RS Umum Sint Lucia,Jl. Sisingamangaraja No. 171/173 Siborongborong. Tapanuli Utara,,Sumatera Utara,2.210483,98.971352
1273106,RS Umum Tiara Kasih Sejati,"Jl Menambin No.4, Timbang Galung, Pematangsiantar",081370989113,Sumatera Utara,2.9531187588102172,99.05725414809308
1273055,RS Umum Vita Insani,"Jl. Merdeka No.329, Pematang Siantar",062222520,Sumatera Utara,2.96168,99.0709
1275655,RSUP H. Adam Malik,"Jl Bunga Lau No. 17, Medan",0618363000,Sumatera Utara,3.5189,98.6103
1371316,RS Jiwa Prof. Dr. Hasan Basri Saanin Datuk Tan Par,"Jl. Raya Ulu Gadut,Padang",075172001,Sumatera Barat,-0.9489,100.446
1375036,RS Otak DR. drs. M. Hatta Bukittinggi,Jl. Jend Sudirman Bukittinggi PO. BOX I Bukittinggi,08126765744,Sumatera Barat,-0.3158,100.375
1371021,RS Tk. III Reksodiwiryo Padang,"Jl. Dr Wahidin No.1,Padang",081361717213,Sumatera Barat,-0.9508119,100.36981
1371112,RS Umum Aisyiyah Padang,Jl. H. Agus Salim No. 6 Padang,081374442083,Sumatera Barat,-0.9477058876477505,100.3635170957125
1302012,RS Umum BKM,Jl Jend Sudirman Sago IV Jurai Painan,082383641567,Sumatera Barat,-1.3315110159922756,100.58724551406249
1371446,RS Umum Citra Bunda Medical Center Padang,Jl. Proklamasi No 37 Padang,075123164,Sumatera Barat,-0.95093700579836,100.36738761653
1303023,RS Umum Daerah Arosuka Solok,"Jl. Lintas Sumatera Aro Suka Solok, Kab.Solok",082391976162,Sumatera Barat,-0.9467552,100.6132194
1376015,RS Umum Daerah Dr. Adnaan WD,"Jl. AIS Nasution 25,Balai Kaliki Payakumbuh",082388321233,Sumatera Barat,-0.2333,100.633
1304014,RS Umum Daerah Kabupaten Sijunjung, Jl. Lintas Sumatera Km.110 Tanah Badantuang ,085271422040,Sumatera Barat,-0.731118,100.956507
1301010,RS Umum Daerah Kep. Mentawai,Jl. Raya Tuapejat KM.9 - Sipora Utara,082386103868,Sumatera Barat,-2.0610,99.591
1309011,RS Umum Daerah Lubuk Sikaping,"Jl. Jen Sudirman No.33,Lubuk Sikaping",081275615624,Sumatera Barat,0.14007927606751377,100.16789271163952
1372011,RS Umum Daerah Mohammad Natsir,"Jl. Simpang Rumbio,Solok",081266652105,Sumatera Barat,-0.8009,100.669
1303012,RS Umum Daerah Muara Labuh,Jl. Raya Km.1 Muara Labuh Padang Aro,082285102799,Sumatera Barat,-0.9439517,100.361807
1374013,RS Umum Daerah Padang Panjang,Jl. Tabek Gadang Kelurahan Ganting Kec.Padang Panjang Timur Kota Padang Panjang,08116667118,Sumatera Barat,-0.4488,100.417
1306056,RS Umum Daerah Padang Pariaman,Jl.raya Padang bukittingi Km.42 Parit malintang,085374337825,Sumatera Barat,-0.6164347777556753,100.28093724456176
1305014,RS Umum Daerah Prof. Dr. M.A. Hanafiah,Jl. Bundo Kanduang no 1 Batusangkar,,Sumatera Barat,-0.4596,100.591
1311013,RS Umum Daerah Sungai Dareh,Jl. Lintas Sumatera KM 2 Kec. Pulau Punjung Kab. Dharmasraya,082216877200,Sumatera Barat,-0.9302,101.452
1311002,RS Umum Daerah Sungai Rumbai,Jl. Lintas Sumatera Jorong Ujung Koto Nagari Sungai Rumbai Timur Kecamatan Sungai Rumbai Kabupaten,085263232322,Sumatera Barat,-1.2313394867893919,101.74148588385924
1371466,RS Umum Hermina Padang,Jl. Khatib Sulaiman RT 001 RW 012 Kel. Gunung Pangilun Kec. Padang Utara,08116606038,Sumatera Barat,-2.4185588,108.4919086
1375040,RS Umum Ibnu Sina Bukittinggi,"Jl. Batang Agam, Belakang Balok ",075221185,Sumatera Barat,-0.3117379153099411,100.37083215880375
1376011,RS Umum Ibnu Sina Kota Payakumbuh,Jl.Pemuda No 14 Payakumbuh,075292222,Sumatera Barat,-0.22209016416623167,100.63250684292221
1309022,RS Umum Islam Ibnu Sina,Jl M Natsir pasaman baru ,082386160552,Sumatera Barat,0.20477,100.138
1371462,RS Umum Naili DBS,JL.RATULANGI NO.24 RT.001 RW.008 KELURAHAN KAMPUNG JAO KECAMATAN PADANG BARAT,08116604557,Sumatera Barat,-0.9452791160467879,100.35930962614603
1371305,RS Umum Semen Padang Hospital,Jl. By Pass KM 7 Kelurahan Pisang Kecamatan Pauh,07514782983,Sumatera Barat,-0.9419460473404463,100.3978050483579
1371032,RS Umum Yos Sudarso,"Jl. Situjuh No. 1,Padang",081224601299,Sumatera Barat,-0.93737953448364,100.36163602868
1371464,RS. Universitas Andalas,"Kompleks kampus Unand, Limau Manis, Kec. Pauh, PADANG",07518465001,Sumatera Barat,-0.9209289325803223,100.4570510884796
1371123,RS Bhayangkara Padang,Jl. Jati No.I Padang,082387422450,Sumatera Barat,-0.9293,100.367
1308010,RS Umum Daerah dr. Achmad Darwis,"Jl. Tan Malaka No.1, Kec.Suliki",082392905205,Sumatera Barat,-0.14030078583766686,100.44030337539061
1375014,RS Umum Daerah Dr. Achmad Mochtar,Jl. Dr. A. Rivai Bukittinggi,085263561606,Sumatera Barat,-0.2997,100.366
1302011,RS Umum Daerah Dr. Muhammad Zein Painan,Jl. A. Rivai No 1 Painan Kabupaten Pesisir Selatan,08525531777,Sumatera Barat,-1.3448213,100.5802387
1308016,RS Umum Daerah Lubuk Basung,"Jl. M.Hatta Padang Baru,Lubuk Basung",081261466699,Sumatera Barat,-0.3141423,100.03101319999999
1306015,RS Umum Daerah Pariaman,"Jl. Prof M Yamin SH No 5, Desa Kampung Baru, Kecamatan Pariaman Tengah",085272041212,Sumatera Barat,-0.6307,100.126
1312024,RS Umum Daerah Pasaman Barat,"Jl. Jenderal Sudirman, Simpang Ampek, Pasaman Barat",081261618629,Sumatera Barat,0.05252843709082427,99.8174300691162
1373012,RS Umum Daerah Sawah Lunto,"Jl. RA. Kartini No.18, Sawah Lunto",081277311839,Sumatera Barat,-0.6826181,100.7769344
1374024,RS Umum Ibnu Sina Padang Panjang,"Jl. Sukarno. Hatta,Padang Panjang",085274551137,Sumatera Barat,-0.4608429139561839,100.40048279762277
1371091,RS Umum Islam Ibnu Sina,Jl. Gajah Mada Gunung Pangilun Padang,082284447664,Sumatera Barat,-0.9207,100.367
1371010,RSUP Dr. M. Djamil,Jl. Perintis Kemerdekaan Padang,082175066250,Sumatera Barat,-0.9438,100.367
1471033,RS Bhayangkara Pekan Baru Polda Riau,"Jl Kartini No.14,Pekanbaru",076147691,R I A U,-2.4185588,108.4919086
1471398,RS Daerah Madani Kota Pekanbaru,Jl. Garuda Sakti Pekanbaru,,R I A U,-2.4185588,108.4919086
1402014,RS Ibu dan Anak  Safira,Jl Sudirman No.79 Air Molek,0769442549,R I A U,-0.356760,102.294481
1471146,RS Jiwa Tampan,"Jl H.R. Subrantas Km.12,5 Pekanbaru",076163240,R I A U,0.46485,101.382
1473024,RS Pertamina Dumai,"Jl Raya Bukit Datuk,Dumai",0765443619,R I A U,1.66574,101.448
1405017,RS Type D Perawang,Jl. Raya Perawang Minas Km. 10,07619950948 ,R I A U,0.687975542357742,101.57226310066608
1404027,RS Umum  Amalia Medika,Jl Lintas Timur Pangkalan Kerinci - Pelalawan - Riau,,R I A U,0.40648119718767683,101.8584516493515
1407012,RS Umum  Awal Bros Ujung Batu,Jl. Jenderal Sudirman No. 314,082387671093,R I A U,0.71511,100.531
1409014,RS Umum  Cahaya,"Jl Lintas Riau Ujung Tanjung, Kec. Tanah Puth RT 024 RW 009",081266818300,R I A U,-2.4185588,108.4919086
1471067,RS Umum  Eka Hospital Pekanbaru,"Jl Soekarno- Hatta Km.6,5",07616989977,R I A U,0.48226,101.419
1402013,RS Umum  Kasih Ibu Rengat,Jl Azki Aris Kampung Dagang Rengat,076923213,R I A U,-0.373350,102.533662
1406043,RS Umum  Mesra,Jl Raya Pasir Putih No. 3A-B Kec. Siak Hulu,076171363,R I A U,0.43966,101.452
1471383,RS Umum  Sansani,Jl Soekarno Hatta Atas Pekan Baru,082352177647,R I A U,0.45541708601156694,101.41867591667176
1407014,RS Umum  Surya Insani,Jl Diponegoro KM 4 Pasir Pengaraian,07627393115,R I A U,0.84940,100.323
1471079,RS Umum  Syafira,"Jl Jenderal Sudirman No.134, Pekanbaru",,R I A U,0.50483,101.452
1406031,RS Umum  Tandun,Kebun Tandun Komplek PTPN V Desa Talang danto Kec. Tapung Hulu Kab. Kampar Riau,,R I A U,0.62743,100.607
1407013,RS Umum Azzahra,Jl. Rambutan No. 3 Ujung Batu Kab. Rokan Hulu,082388797008,R I A U,0.70933,100.541
1471011,RS Umum Daerah  Arifin Achmad,"Jl Diponegoro No. 2, Pekanbaru",,R I A U,0.53782,101.456
